File	Left Context	Hit	Right Context
96_tagged.txt	MC 06_MC Descriptive_JJ paragraph_NN1 Today_RT I_PPIS1 	am_VBM going_VVGK to_TO describe_VVI 	one_MC1 
159_tagged.txt	I_PPIS1 visited_VVD to_II Japanese_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO visit_VVI 	other_JJ 
657_tagged.txt	important_JJ thing_NN1 is_VBZ that_CST I_PPIS1 	am_VBM going_VVGK to_TO take_VVI 	that_DD1 
659_tagged.txt	since_CS or_CC computer_NN1 programming_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO study_VVI 	at_II 
667_tagged.txt	have_VHI idea_NN1 about_II what_DDQ I_PPIS1 	am_VBM going_VVGK to_TO fix_VVI ._. 	Then_RT 
915_tagged.txt	laptop_NN1 ._. In_II this_DD1 letter_NN1 I_PPIS1 	am_VBM going_VVGK to_TO compare_VVI 	between_II 
924_tagged.txt	October16_FO 2006_MC Dear_JJ Dad_NP1 I_PPIS1 	am_VBM going_VVGK to_TO get_VVI 	a_AT1 
1071_tagged.txt	October23_FO 2006_MC Dear_JJ Dad_NP1 I_PPIS1 	am_VBM going_VVGK to_TO get_VVI 	a_AT1 
1127_tagged.txt	laptop_NN1 ._. In_II this_DD1 letter_NN1 I_PPIS1 	am_VBM going_VVGK to_TO compare_VVI 	between_II 
1203_tagged.txt	of_IO my_APPGE father_NN1 ._. Hopefully_RR I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	a_AT1 
1209_tagged.txt	want_VV0 to_TO tell_VVI you_PPY I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	used_JJ 
1218_tagged.txt	want_VV0 to_TO tell_VVI you_PPY I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	used_JJ 
1424_tagged.txt	a_AT1 president_NN1 of_IO ELI_NN2 I_PPIS1 	am_VBM going_VVGK to_TO change_VVI 	the_AT 
1669_tagged.txt	habits_NN2 and_RR31 so_RR32 on_RR33 ._. I_PPIS1 	am_VBM going_VVGK to_TO make_VVI 	analogies_NN2 
1750_tagged.txt	things_NN2 these_DD2 days_NNT2 but_CCB I_PPIS1 	am_VBM going_VVGK to_TO discuss_VVI 	only_JJ 
1794_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	new_JJ 
1794_tagged.txt	to_TO buy_VVI new_JJ desks_NN2 ._. I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	new_JJ 
1794_tagged.txt	will_VM change_VVI the_AT restaurant_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO change_VVI 	rest_NN1 
1794_tagged.txt	will_VM repair_VVI the_AT building_NN1 ._. I_PPIS1 	am_VBM going_VVGK to_TO buy_VVI 	books_NN2 
1830_tagged.txt	things_NN2 these_DD2 days_NNT2 but_CCB I_PPIS1 	am_VBM going_VVGK to_TO write_VVI 	only_JJ 
1918_tagged.txt	enjoy_VVI sunbathing_VVG for_IF hours_NNT2 ._. I_PPIS1 	am_VBM going_VVGK to_TO drink_VVI 	different_JJ 
1918_tagged.txt	stand_VVI more_RRR ._. Every_AT1 night_NNT1 I_PPIS1 	am_VBM going_VVGK to_TO eat_VVI 	in_II 
1970_tagged.txt	crazy_JJ and_CC colorful_JJ festival_NN1 I_PPIS1 	am_VBM going_VVGK to_TO go_VVI 	into_II 
2224_tagged.txt	I_PPIS1 	am_VBM going_VVGK to_TO introduce_VVI 	myself_PPX1 ._. 
